id_element,code,state,element_type,description
"sbox-991a-534cacee-24777279-97b12b0d","SJ14111","Designed","splicebox","JOINT BOX MEDIAN"
"cabl-387e-65075cdd-93808e0a-bb14ac5b","BAM-CL008-SJ14111-SB42113","Designed","cable","12 f.o."
"cabl-5f92-f0f89f16-61ee6dba-12bf1b65","BAM-CL008-SB42113-J14114","Designed","cable","12 f.o."
"cabl-cbb5-5492812f-d994f4e6-a0e86d57","BAM-CL008-SJ14111-J14119","Designed","cable","48 f.o."
"cabl-4483-3f15e1f8-7b3bd0d3-3fd544a2","BAM-CL008-SJ14111-SB42110","Designed","cable","12 f.o."
"cabl-283f-c1b841aa-d9bceb28-18ee446a","BAM-CL008-SB42110-SB42107","Designed","cable","12 f.o."
"cabl-0103-18193917-5776e1a9-92ff8e6a","BAM-CL008-J14119-J14118","Designed","cable","48 f.o."
"cabl-fc5e-c8ab337a-ccc66f64-69812da4","BAM-CL008-J14118-J14121","Designed","cable","48 f.o."
"xxxx-1e0c-053cca37-f8813533-0574d6fe","SB42107","Designed","distributionpoint","POLE SB 24 CLIENTS"
"xxxx-77d1-59a8f414-b245d960-4dde7e36","SB42121","Designed","distributionpoint","POLE SB 24 CLIENTS"
"xxxx-8a88-95d5ed1a-644c177d-09ff9dd8","SB42110","Designed","distributionpoint","JOINT CHAMBER SB 12 CLIENTS"
"sbox-1f9d-e1cb09fd-23c41777-df21dd1e","J14114","Designed","splicebox","JOINT BOX SMALL"
"cabl-20b0-7451a1b4-c11cd54f-41ddb1c1","BAM-CL008-J14114-SB42123","Designed","cable","12 f.o."
"xxxx-8184-d6936f9d-698e7c17-0df9bb05","SB42113","Designed","distributionpoint","JOINT CHAMBER SB 12 CLIENTS HP"
"cabl-57ee-48258041-3277f5b3-ed96b533","BAM-CL008-J14114-SB42121","Designed","cable","12 f.o."
"xxxx-dd15-e092b509-6d00216e-fb1eb8cb","SB42123","Designed","distributionpoint","POLE SB 24 CLIENTS"
"xxxx-5705-eb4379e9-30a94372-ea90177e","SB42125","Designed","distributionpoint","POLE SB 24 CLIENTS"
"xxxx-3038-021ca17c-595e7c46-d68d92f2","SB42126","Designed","distributionpoint","POLE SB 24 CLIENTS"
"cabl-66fb-7cd72f9a-a540a9c4-cd2d057c","BAM-CL008-SB42125-SB42126","Designed","cable","12 f.o. ULW"
"sbox-7285-b5068fae-bebe8100-0d45c4f0","J14119","Designed","splicebox","JOINT BOX SMALL"
"sbox-d794-8ef8bb8f-d3d2fa24-7f40ae7f","J14118","Designed","splicebox","JOINT BOX SMALL"
"cabl-8176-e147e7b9-80ec1486-ecd39a54","BAM-CL008-J14118-SB42125","Designed","cable","12 f.o."
"xxxx-c462-c28567a9-1f9017f9-0c5d9fb2","SB42129","Designed","distributionpoint","POLE SB 24 CLIENTS"
"sbox-beba-01f872a0-a5014b29-7be197c8","J14121","Designed","splicebox","JOINT BOX SMALL - MIRROR"
"cabl-aa91-6977dbb0-5f616162-0024d78f","BAM-CL008-J14119-SB42129","Designed","cable","12 f.o."
"xxxx-b419-94315372-1ee0b84f-a385ad83","SB42132","Designed","distributionpoint","POLE SB 24 CLIENTS"
"xxxx-a4df-4f3813bd-465d698f-6a4a0a36","SB42134","Designed","distributionpoint","POLE SB 24 CLIENTS SAT"
"xxxx-f92e-8ffd5daf-5384814e-154c54a4","SB42133","Designed","distributionpoint","POLE SB 24 CLIENTS MOS"
"cabl-4a3e-bad9ab61-49ff6196-686d0b2a","BAM-CL008-SB42132-SB42133","Designed","cable","12 f.o. ULW"
"xxxx-6370-e37e1e81-e59e8015-ca1bdff0","SB42136","Designed","distributionpoint","SB VIRTUAL"
"cabl-c9bd-3aca2317-ef8e00c7-7a8dfcea","BAM-CL008-J14121-SB42132","Designed","cable","12 f.o."
"cabl-ed7c-2c935355-ee2be29a-5298e6e4","BAM-CL008-SB42133-SB42134","Designed","cable","12 f.o. ULW"
